"","GSM1317914","GSM1317915","GSM1317916","GSM1317917","GSM1317918","GSM1317919","GSM1317920","GSM1317921","GSM1317922","GSM1317945","GSM1317946","GSM1317947","GSM1317948","GSM1317949","GSM1317950","GSM1317951","GSM1317952","GSM1317953","GSM1317954","GSM1317955","GSM1317956","GSM1317957","GSM1317958","GSM1317959","GSM1317960","GSM1317961","GSM1317962","GSM1317963","GSM1317964","GSM1317965","GSM1317966","GSM1317967","GSM1317968","GSM1317969","GSM1317970"
"ILMN_1700855",7.9276528049727,7.83985568759135,8.26240405477811,7.67637427032312,8.17594184484103,7.87216460923493,7.87680863269723,7.89472464821843,7.87263823901525,7.59894648969988,7.51728918259675,7.86685910038955,7.06271740700787,7.17998813935986,6.56115736873729,6.6352499806752,6.64254469671159,6.63058112334004,6.8293430318113,6.88546649743913,6.64167162811575,6.79398482261889,6.69808248216524,7.14342267539624,6.82827082319268,6.84578975581676,6.9125631201784,7.37778061836056,6.54907517739271,6.2712001025041,6.44953616433687,6.84109852532608,7.04945477070788,6.97802071529848,7.14230793559045
"ILMN_2404065",8.39968556893593,8.44422833071888,8.21550667252784,7.48550833244399,7.68947650655903,7.65671646986063,7.96898059705424,8.10068160802409,7.77989680773595,7.58975854365522,7.36988812143227,7.33779001064548,6.94938648953165,7.72092068305146,7.32764906051282,6.85834331297185,6.94438049398692,6.94726739197421,6.84909341779825,7.05828364127564,6.9961636175073,7.07609205939973,6.86921900308629,6.94931090212382,7.40601589765362,7.28745714183654,6.76691438043657,7.08325950222254,7.20047682563935,6.74130289385305,6.91975596462894,7.08701122520688,7.3233067080061,7.34436474289823,7.33662951117243
"ILMN_1676719",6.97155610014327,7.2415830749324,6.90385649723633,7.12331422574358,7.64748131827672,6.83488460126021,7.28865246965395,7.26335911060343,7.09641434996262,7.06637911992652,6.68480571046044,6.44878427147041,6.68163728975148,6.6456146684416,6.43784405648239,6.62178058020223,6.53957446595124,6.47704668863662,6.4910003429805,6.7086017246145,6.51399539583539,6.45162679227044,6.44759073380606,6.53620156372024,6.51277745846024,6.52831460529012,6.79645388457081,6.56724880885887,6.54635382103544,6.26934258128015,6.35103872854931,6.6175596473995,6.25707808288747,6.70986672792446,6.77495036727707
"ILMN_1690063",7.97988081736993,8.23285128399978,8.08717321305412,8.27241597119158,8.28178631167778,8.26781426135124,7.62334319644407,7.8816752654304,8.28773308570269,7.91236462499691,8.12363642678932,7.44123699251413,7.14554695546505,7.48513231219278,6.97170276153388,7.06196243650246,7.04953328109931,7.15214684191208,7.08195899568892,7.14521452082384,6.96662944459324,7.06022792450284,7.1049331943343,7.54189018944204,7.01276061095994,7.22025553323578,7.07152939186472,7.18294243289032,7.05311108702534,6.51473195499868,7.17297334739882,7.26671649312812,7.19472724439542,6.84287195885328,7.46968504897552
"ILMN_2389273",7.61140837937445,7.93999869137332,7.59141845508683,7.2942193706101,7.47735913689385,7.19372217667128,7.47331114660967,7.02591388206326,7.15777971088558,6.89863119951938,7.27740399614933,6.90059125737791,7.18550128405688,6.31827955544097,6.78185702626919,6.49275406683108,6.58367645155526,6.80306056937028,6.72917719941296,6.74034375178893,6.83219467897402,6.56036031449532,6.6869089406632,6.33626240962714,6.86520402498657,6.77574522106082,6.6483064456731,6.73665068657369,6.56522896865968,6.73427270499426,6.79792529666725,6.72539886494265,6.73342791136815,6.46193041145409,6.73239803551112
"ILMN_1746598",8.14797096422937,7.93999869137332,7.91258074429935,7.86097118762237,8.03859716531153,7.84201096328485,7.90327102093779,7.53357674451577,7.9131123367113,7.64717991393822,7.89783464006994,7.34240768282527,7.2068770674976,7.32186220957166,7.37330130492415,7.33802837330035,7.44233714094441,7.49446784955084,7.26661556088611,7.42244793634987,7.61633438732561,7.397585416245,7.46142947802604,7.37617188654935,7.46496339847715,7.46198587188899,7.5129237138061,7.42579206157656,7.46342687404076,7.29657844582009,7.50243823135957,7.37031565995,7.53782718620553,7.5667056952367,7.53285827353246
"ILMN_1887305",6.76168483737979,6.72413238387129,6.9315504276126,7.16353128989636,7.19276494016175,6.86993131890936,7.02343101560769,7.04848035582673,6.95782172620831,6.93579973325366,6.5714378342556,6.60795793474486,6.69553203866125,6.259534755769,6.40393490938404,6.6273816412401,6.38674660250203,6.37921576235828,6.54055798364345,6.45314537315433,6.45804185128586,6.44097243993239,6.34268936315289,6.2658045945796,6.34417508750347,6.397360773945,6.34731720485687,6.45430996678753,6.41712965768835,6.32315648104047,6.80268167969003,6.50138425703711,6.20785128129406,6.48645304475755,6.43177184491293
"ILMN_1882590",8.88893862454183,8.55113033983385,8.4209701543078,9.18966664711497,8.69356258000166,9.24837049839177,8.87230095211785,9.00923745249342,8.75113447394888,8.61413587752861,8.4924470923398,8.41914067776619,8.33789860043268,8.42072583371534,7.80407306687432,8.02911609155346,8.06959141215752,8.27398346943904,8.22407610241229,8.18833685604446,8.27332462965313,8.17966387323994,8.05706583356821,8.14603064330794,8.12955683444463,8.13196122780999,8.01127632727752,8.41942841588538,7.93470123114535,7.77720749603998,8.32750280645866,8.31852965471473,8.0353677290019,8.11640814798744,7.90981635597237
"ILMN_1658830",8.21488622366428,8.09645187140002,8.18858640232001,8.33640221045065,8.64064816386215,8.30550129664178,8.19421638715463,8.51690967722551,8.19790652371845,8.31991527591061,8.10174278229654,7.80732094970065,7.69631135781183,7.78976773463993,7.09060786717681,7.21140559444689,7.36870588952181,7.51786871838005,7.36631518880567,7.40549790899329,7.33802837330035,7.32481350097975,7.59780684211012,7.42206980067977,7.56948105076173,7.39056003455922,7.47096509574151,7.65889619054475,7.56814917571785,6.78036398524421,7.32559741993443,7.51233716083483,7.31978626813951,7.37330130492415,7.51646767807292
"ILMN_2279635",7.72077501974058,7.99268033643249,7.66744673570794,7.49500689418179,7.92583280466207,8.08404754178312,8.14100702627477,8.10068160802409,7.81614622188813,7.48821457438412,7.32165451768042,7.75234591836134,7.23427311222241,7.45876092878882,6.99162290571871,7.08274781453017,7.28104766407024,7.02343101560769,7.01478333362215,6.86859592442335,6.95653015536568,7.05199154218059,7.01804424144428,7.16016222060723,7.46256573872122,6.97985156064589,7.02420793905357,7.12210782661722,7.52895963284309,6.88133417256123,7.35454789588952,7.39734708473249,6.80082051939081,7.25035418149593,7.42550992765196
