"gene","rho_inflammatory","p_inflammatory","fdr_inflammatory","rho_oxphos","p_oxphos","fdr_oxphos","neglog10FDR_oxph","status_oxph"
"LOC651894",-0.555914736423863,1.1642004825768e-11,7.70792630030256e-10,-0.470565834096775,2.36987324380146e-08,7.76349491416679e-07,6.10994272716385,"Significant"
"IFITM1",0.519594158445443,3.8604591771188e-10,1.61070136711662e-08,0.0976727223215067,0.274636708886362,0.463077874061522,0.334345969173561,"Not significant"
"S100A4",0.411191134753748,1.56905584375037e-06,1.90336914044916e-05,0.509896458728505,9.18490493540619e-10,5.12285817314571e-08,7.29048766744453,"Significant"
"LOC645899",-0.39900158982966,3.37564514844861e-06,3.73966782429849e-05,-0.047773201308058,0.593785653535898,0.754317769374471,0.122445661539812,"Not significant"
"HLA-B",0.408377178778951,1.87765464813855e-06,2.23040194959952e-05,0.252947070355293,0.00411515941769287,0.0191941593974295,1.71683090292932,"Not significant"
"HBG2",-0.437047952203917,2.78644702042058e-07,4.25906564925646e-06,-0.353468302327717,4.57398094750649e-05,0.000461229605844953,3.33608282357503,"Significant"
"CSDA",-0.539060715123815,6.22600368129849e-11,3.30464191176769e-09,-0.49359631618936,3.71391370328658e-09,1.665567822834e-07,6.77843767790356,"Significant"
"RPL7L1",-0.120327404267503,0.177814429303239,0.354656193661027,-0.296676159068372,0.000706873872934559,0.00449096963867691,2.34765988098709,"Not significant"
"AQP9",0.67138592798851,5.71153038352367e-18,9.2707350270369e-16,0.257107453358126,0.00352255067758188,0.0169261056577959,1.77144295245694,"Not significant"
"RNASET2",0.236065439769611,0.00754249858318587,0.0305132210732229,0.0774854295240402,0.386553005850897,0.578903050511425,0.237394161926048,"Not significant"
"TMSB10",0.0333819635688805,0.709461128058703,0.840245375927549,0.504426516984188,1.4799657752698e-09,7.56797945935222e-08,7.12102005534597,"Significant"
"SLC25A37",-0.143782616809345,0.106805736900058,0.246028706708347,-0.492823758509467,3.96101874354585e-09,1.75449420015616e-07,6.75584806309653,"Significant"
"RPS25",-0.210344994722415,0.0176132257357984,0.0614435865622506,0.249952029744379,0.00459555488208676,0.0210255619709803,1.67725238755697,"Not significant"
"C9orf80",-0.0359782099046998,0.687996817284327,0.826654182437385,-0.267453358443096,0.00236717632721091,0.012186574425271,1.91411835486362,"Not significant"
"GNAS",-0.195480506593641,0.0276324086644201,0.0882359952827732,-0.160293077934704,0.0718275326245105,0.180765118865666,0.742885368913997,"Not significant"
"SMAP2",0.357152692069992,3.75756785875121e-05,0.000305942823525354,0.112813121701598,0.206659413262094,0.382839568386792,0.416983182065603,"Not significant"
"FCER1G",0.557363795050499,1.00346793977179e-11,6.71442816402084e-10,0.445722303918723,1.5099641275848e-07,3.67400265821142e-06,5.43486053380971,"Significant"
"MKRN1",-0.439119131277786,2.41094894030746e-07,3.76284518543395e-06,-0.453654785672355,8.49348568150182e-08,2.27811946973245e-06,5.64242350427577,"Significant"
"RPL6",-0.250103636116626,0.00457008180985114,0.0200045790281235,0.408088651928334,1.91236616541143e-06,3.14481531440661e-05,4.50240485428524,"Significant"
"LILRA5",0.501138812316672,1.9634854296983e-09,6.25307973744043e-08,0.344376758762872,7.35414798893594e-05,0.000689355474119372,3.16155677136142,"Significant"
"WBP2",-0.381095507299839,9.85857613571167e-06,9.48134239290405e-05,-0.323838902717047,0.000204014138915885,0.00160500053814407,2.79452481764356,"Significant"
"LOC441763",-0.326571265530673,0.000178849645109115,0.00121547223698007,-0.480608732837807,1.07405954497018e-08,4.02117025177155e-07,6.39564753897378,"Significant"
"LOC387841",-0.494200328701926,3.53111189481846e-09,1.01996836006587e-07,-0.0100774705730633,0.910468759786428,0.953840663229929,0.0205241670773028,"Not significant"
"SOD2",0.563839744305705,5.12037765116795e-12,3.7448715501667e-10,0.265705627339307,0.00253435075754671,0.0128993992937725,1.889430513691,"Not significant"
"LOC644039",-0.465621439336807,3.46673674934011e-08,7.10836429312532e-07,0.0120781225857099,0.892791644772858,0.944810077482689,0.0246554831212749,"Not significant"
"FTHL8",-0.298268461129272,0.000659345442550927,0.00377525534573026,-0.291375111730014,0.000888680478858244,0.00542545793923673,2.26556359902966,"Not significant"
"PSAP",0.162523217990178,0.0679117576846654,0.176586210208034,0.127496763409989,0.153163590621802,0.310161202225846,0.508412528614726,"Not significant"
"RPS19",-0.502645317345845,1.72556066564252e-09,5.62349492058293e-08,-0.188696324941998,0.0336200682547281,0.102044552686778,0.991210173713378,"Not significant"
"JUND",-0.544399396287052,3.69757981574895e-11,2.08115012493127e-09,-0.372461594986538,1.61689024847514e-05,0.000190893203948315,3.71920953279168,"Significant"
"RGS2",0.123748548328239,0.165710066398889,0.33766093468289,0.207901779692214,0.019003759288567,0.0651916525690014,1.18580800971757,"Not significant"
"AMY1C",0.0918519952720898,0.304393246662485,0.506262292112213,0.0821670205840268,0.35842312525329,0.55045583007249,0.259277524149811,"Not significant"
"ALOX5",0.590739251902711,2.66072251631169e-13,2.73229052195452e-11,0.309214024410589,0.00040422645625923,0.00282733761830024,2.54862232840118,"Significant"
"ICAM3",0.375882141566618,1.33132833054201e-05,0.00012318062165007,0.00801506928007378,0.92873732571663,0.96275658746208,0.0164835011252327,"Not significant"
"ALPL",0.559768813659803,7.82929465058826e-12,5.44135978215884e-10,0.362097375490217,2.87506673568838e-05,0.000311649306347195,3.50633383540096,"Significant"
"HBG1",-0.436980575247373,2.79955344313165e-07,4.27390564780031e-06,-0.38051282679784,1.01978272156615e-05,0.000130006056850518,3.88603641388177,"Significant"
"RNF149",0.582836654512539,6.52447658615535e-13,6.01279510736566e-11,0.204204196022119,0.021288276945191,0.0712981575697631,1.14692169269545,"Not significant"
"RPS11",-0.283400348141355,0.00124379842996646,0.00652747699197461,-0.107195746643928,0.230314056550597,0.411130363896443,0.386020447360477,"Not significant"
"CYBA",0.533425317104803,1.06859883076474e-10,5.26122856814286e-09,0.464458183603798,3.7879813710671e-08,1.14861770072848e-06,5.93982449532503,"Significant"
"Septin 5",-0.162024322728515,0.0687723273284957,0.178412351336113,-0.0979879514602933,0.273083267530231,0.461386865539754,0.3359347728509,"Not significant"
"LILRB1",-0.0516404968929097,0.564216646926862,0.740795669556044,-0.332675181991866,0.000132682015045376,0.00112206615681567,2.94998153640163,"Significant"
"GYPC",-0.498672256054923,2.42263928368904e-09,7.4603649618522e-08,-0.48310257109195,8.78930854191998e-09,3.39156769334608e-07,6.46959951029488,"Significant"
"LOC652071",-0.500458456610359,2.08100374663709e-09,6.55966306667401e-08,-0.140179222805927,0.115975612726516,0.255398718775926,0.592781285733297,"Not significant"
"CCND3",0.431321426903294,4.13714652318552e-07,5.96826085876287e-06,0.192669715853726,0.029992807722049,0.0932858263665509,1.03018433694375,"Not significant"
